index,non-gendered,gendered,corrected,was_gendered
3493,"Die klassischen Tragödien von Aischylos, Sophokles und Euripides kamen – meist im Rahmen festlicher Dichterwettbewerbe – im Theater zur Aufführung.
","Die klassischen Tragödien von Aischylos, Sophokles und Euripides kamen – meist im Rahmen festlicher Dichterwettbewerbe – im Theater zur Aufführung.
","Die klassischen Tragödien von Aischylos, Sophokles und Euripides kamen – meist im Rahmen festlicher Dichterwettbewerbe – im Theater zur Aufführung.
",False
3494,"Kaufleute und Gewerbetreibende, Künstler und Gelehrte zog die Metropole an.
","Kaufleute und Gewerbetreibende, Künstler und Gelehrte zog die Metropole an.
","Kaufleute und Gewerbetreibende, Künstler und Gelehrte zog die Metropole an.
",False
3495,"Auf der Agora wirkte neben den Sophisten der Philosoph Sokrates auf seine Mitbürger ein, dessen Lehren Platon später zu einem Werk von herausragender philosophiegeschichtlicher Bedeutung verarbeitete.
","Auf der Agora wirkte neben den Sophisten der gelehrte Person Sokrates auf seine Mitbürger ein, dessen Lehren Platon später zu einem Werk von herausragender philosophiegeschichtlicher Bedeutung verarbeitete.
","Auf der Agora wirkte neben den Sophisten der gelehrte Person Sokrates auf seine Mitbürger ein, dessen Lehren Platon später zu einem Werk von herausragender philosophiegeschichtlicher Bedeutung verarbeitete.
",True
3496,"Athen mit seinen zu gleichberechtigter politischer Mitwirkung gelangten (männlichen) Vollbürgern beanspruchte nunmehr, die „Schule von Hellas“, zu sein.
","Athen mit seinen zu gleichberechtigter politischer Mitwirkung gelangten (männlichen) Vollbürgern beanspruchte nunmehr, die „Schule von Hellas“, zu sein.
","Athen mit seinen zu gleichberechtigter politischer Mitwirkung gelangten (männlichen) Vollbürgern beanspruchte nunmehr, die „Schule von Hellas“, zu sein.
",False
3497,"Seine durchaus auch aggressive äußere Machtentfaltung in und mit dem Attischen Seebund führte allerdings schon während der Pentekontaetie zu Spannungen, vor allem gegenüber der konkurrierenden griechischen Großmacht Sparta.
","Seine durchaus auch aggressive äußere Machtentfaltung in und mit dem Attischen Seebund führte allerdings schon während der Pentekontaetie zu Spannungen, vor allem gegenüber der konkurrierenden griechischen Großmacht Sparta.
","Seine durchaus auch aggressive äußere Machtentfaltung in und mit dem Attischen Seebund führte allerdings schon während der Pentekontaetie zu Spannungen, vor allem gegenüber der konkurrierenden griechischen Großmacht Sparta.
",False
3498,"Die zunehmende Rivalität zwischen der Seemacht Athen und der Landmacht Sparta mündete 431 v. Chr. in den fast 30 Jahre währenden Peloponnesischen Krieg, den die zeitgenössischen Historiker Thukydides und (im Anschluss an Thukydides) Xenophon eindringlich beschrieben haben.
","Die zunehmende Rivalität zwischen der Seemacht Athen und der Landmacht Sparta mündete 431 v. Chr. in den fast 30 Jahre währenden Peloponnesischen Krieg, den die zeitgenössischen Historiker Thukydides und (im Anschluss an Thukydides) Xenophon eindringlich beschrieben haben.
","Die zunehmende Rivalität zwischen der Seemacht Athen und der Landmacht Sparta mündete 431 v. Chr. in den fast 30 Jahre währenden Peloponnesischen Krieg, den die zeitgenössischen Historiker Thukydides und (im Anschluss an Thukydides) Xenophon eindringlich beschrieben haben.
",False
3499,"Der sehr wechselhaft verlaufende und mit einer als beispiellos empfundenen Brutalität geführte Konflikt endete, auch auf Grund der Unterstützung Spartas durch das Perserreich, 404 v. Chr. mit der vollständigen Niederlage Athens und mit der Errichtung einer zeitweiligen spartanischen Hegemonie über Griechenland.
","Der sehr wechselhaft verlaufende und mit einer als beispiellos empfundenen Brutalität geführte Konflikt endete, auch auf Grund der Unterstützung Spartas durch das Perserreich, 404 v. Chr. mit der vollständigen Niederlage Athens und mit der Errichtung einer zeitweiligen spartanischen Hegemonie über Griechenland.
","Der sehr wechselhaft verlaufende und mit einer als beispiellos empfundenen Brutalität geführte Konflikt endete, auch aufgrund der Unterstützung Spartas durch das Perserreich, 404 v. Chr. mit der vollständigen Niederlage Athens und mit der Errichtung einer zeitweiligen spartanischen Hegemonie über Griechenland.
",False
3500,"In der ersten Hälfte des 4. Jahrhunderts v. Chr. führten die griechischen Städte einen fast permanenten Krieg gegeneinander und in wechselnden Koalitionen, auch unter fortwährender Einmischung der Perserkönige.
","In der ersten Hälfte des 4. Jahrhunderts v. Chr. führten die griechischen Städte einen fast permanenten Krieg gegeneinander und in wechselnden Koalitionen, auch unter fortwährender Einmischung der Perserkönige.
","In der ersten Hälfte des 4. Jahrhunderts v. Chr. führten die griechischen Städte einen fast permanenten Krieg gegeneinander und in wechselnden Koalitionen, auch unter fortwährender Einmischung der Perserkönige.
",False
3501,"Die Sehnsucht nach einem Allgemeinen Frieden wurde auch zu propagandistischen Zwecken eingesetzt (Königsfrieden von 386 v. Chr.).
","Die Sehnsucht nach einem Allgemeinen Frieden wurde auch zu propagandistischen Zwecken eingesetzt (Königsfrieden von 386 v. Chr.).
","Die Sehnsucht nach einem allgemeinen Frieden wurde auch zu propagandistischen Zwecken eingesetzt (Königsfrieden von 386 v. Chr.).
",False
3502,"Doch auch Thebens Vorherrschaft bestand nur bis rund 362 v. Chr. und endete mit dem Tod Epaminondas.
","Doch auch Thebens Vorherrschaft bestand nur bis rund 362 v. Chr. und endete mit dem Tod Epaminondas.
","Doch auch Thebens Vorherrschaft bestand nur bis rund 362 v. Chr. und endete mit dem Tod Epaminondas.
",False
3503,"Insgesamt schwächte der Peloponnesische Krieg die griechischen Polis so stark, dass Philipp II. von Makedonien dem andauernden Machtkampf ein Ende setzen konnte, indem er Griechenland gewaltsam mit seinem hervorragend geschulten Heer einigte.
","Insgesamt schwächte der Peloponnesische Krieg die griechischen Polis so stark, dass Philipp II. von Makedonien dem andauernden Machtkampf ein Ende setzen konnte, indem er Griechenland gewaltsam mit seinem hervorragend geschulten Heer einigte.
","Insgesamt schwächte der Peloponnesische Krieg die griechischen Polis so stark, dass Philipp II. von Makedonien dem andauernden Machtkampf ein Ende setzen konnte, indem er Griechenland gewaltsam mit seinem hervorragend geschulten Heer einigte.
",False
3504,"Der von Athenern wie Demosthenes als nicht-griechischer Barbar betrachtete König errang mit seinem geschulten Heer in der Schlacht von Chaironeia 338 v. Chr. die Hegemonie über Hellas, die im Jahr darauf im Korinthischen Bund bekräftigt wurde.
","Der von Athenern wie Demosthenes als nicht-griechischer Barbar betrachtete König errang mit seinem geschulten Heer in der Schlacht von Chaironeia 338 v. Chr. die Hegemonie über Hellas, die im Jahr darauf im Korinthischen Bund bekräftigt wurde.
","Der von Athenern wie Demosthenes als nicht-griechischer Barbar betrachtete König errang mit seinem geschulten Heer in der Schlacht von Chaironeia 338 v. Chr. die Hegemonie über Hellas, die im Jahr darauf im Korinthischen Bund bekräftigt wurde.
",False
3505,"Auf Sizilien behauptete sich derweil das mächtige Syrakus gegenüber der Handelsrepublik Karthago, welche mit den griechischen Poleis (Westgriechen) seit dem frühen 5. Jahrhundert v. Chr. im Konflikt lag.
","Auf Sizilien behauptete sich derweil das mächtige Syrakus gegenüber der Handelsrepublik Karthago, welche mit den griechischen Poleis (Westgriechen) seit dem frühen 5. Jahrhundert v. Chr. im Konflikt lag.
","Auf Sizilien behauptete sich derweil das mächtige Syrakus gegenüber der Handelsrepublik Karthago, welche mit den griechischen Poleis (Westgriechen) seit dem frühen 5. Jahrhundert v. Chr. im Konflikt lag.
",False
3506,"Auf Sizilien hielt sich zudem, im Gegensatz zum Mutterland, in vielen Städten die Tyrannis als Regierungsform (Dionysios I. von Syrakus, Agathokles von Syrakus und andere).
","Auf Sizilien hielt sich zudem, im Gegensatz zum Mutterland, in vielen Städten die Tyrannis als Regierungsform (Dionysios I. von Syrakus, Agathokles von Syrakus und andere).
","Auf Sizilien hielt sich zudem, im Gegensatz zum Mutterland, in vielen Städten die Tyrannis als Regierungsform (Dionysios I. von Syrakus, Agathokles von Syrakus und andere).
",False
3507,"Nach der Ermordung Philipps 336 v. Chr. führte sein Sohn Alexander der Große ein griechisch-makedonisches Heer nach Asien und eroberte in wenigen Jahren mit dem Perserreich ein Weltreich.
","Nach der Ermordung Philipps 336 v. Chr. führte sein Sohn Alexander der Große ein griechisch-makedonisches Heer nach Asien und eroberte in wenigen Jahren mit dem Perserreich ein Weltreich.
","Nach der Ermordung Philipps 336 v. Chr. führte sein Sohn Alexander der Große ein griechisch-makedonisches Heer nach Asien und eroberte in wenigen Jahren mit dem Perserreich ein Weltreich.
",False
3508,"Der Alexanderzug bahnte der griechischen Kultur im ganzen damals bekannten Orient den Weg, von Ägypten über Mesopotamien und Persien bis zu den Grenzen Indiens und Turkestans.
","Der Alexanderzug bahnte der griechischen Kultur im ganzen damals bekannten Orient den Weg, von Ägypten über Mesopotamien und Persien bis zu den Grenzen Indiens und Turkestans.
","Der Alexanderzug bahnte der griechischen Kultur im ganzen damals bekannten Orient den Weg, von Ägypten über Mesopotamien und Persien bis zu den Grenzen Indiens und Turkestans.
",False
3509,"Nach Alexanders Tod 323 v. Chr. in Babylon teilten seine Nachfolger, die Diadochen, in lange währenden Kriegen das Reich unter sich auf.
","Nach Alexanders Tod 323 v. Chr. in Babylon teilten seine Nachfolger, die Diadochen, in lange währenden Kriegen das Reich unter sich auf.
","Nach Alexanders Tod 323 v. Chr. in Babylon teilten seine Nachfolger, die Diadochen, in lange währenden Kriegen das Reich unter sich auf.
",False
3510,"In allen Teilreichen bildete der Hellenismus in den folgenden Jahrhunderten die prägende Kultur.
","In allen Teilreichen bildete der Hellenismus in den folgenden Jahrhunderten die prägende Kultur.
","In allen Teilreichen bildete der Hellenismus in den folgenden Jahrhunderten die prägende Kultur.
",False
3511,"Das Zeitalter des Hellenismus kennzeichnet ein nahezu ständiger Kampf der drei Großmächte (Ptolemäer, Seleukiden und Antigoniden) um die Vorherrschaft.
","Das Zeitalter des Hellenismus kennzeichnet ein nahezu ständiger Kampf der drei Großmächte (Ptolemäer, Seleukiden und Antigoniden) um die Vorherrschaft.
","Das Zeitalter des Hellenismus kennzeichnet ein nahezu ständiger Kampf der drei Großmächte (Ptolemäer, Seleukiden und Antigoniden) um die Vorherrschaft.
",False
3512,"Dennoch wuchs die Bevölkerung im gesamten Mittelmeerraum stetig und ermöglichte so das Wachstum größerer Städte und Metropolen mit Einwohnern über 100.000 Menschen.
","Dennoch wuchs die Bevölkerung im gesamten Mittelmeerraum stetig und ermöglichte so das Wachstum größerer Städte und Metropolen mit Einwohnern über 100.000 Menschen.
","Dennoch wuchs die Bevölkerung im gesamten Mittelmeerraum stetig und ermöglichte so das Wachstum größerer Städte und Metropolen mit Einwohnern über 100.000 Menschen.
",False
3513,"Auch breitete sich in dieser Zeit der Fernhandel (bis hin nach China) und die Güterproduktion für große städtische Märkte aus.
","Auch breitete sich in dieser Zeit der Fernhandel (bis hin nach China) und die Güterproduktion für große städtische Märkte aus.
","Auch breitete sich in dieser Zeit der Fernhandel (bis hin nach China) und die Güterproduktion für große städtische Märkte aus.
",False
3514,"Verschiedene Wissenschaften blühten auf, bspw. in Alexandria.
","Verschiedene Wissenschaften blühten auf, bspw. in Alexandria.
","Verschiedene Wissenschaften blühten auf, bspw. in Alexandria.
",False
3515,"Zu Beginn des 2. Jahrhunderts v. Chr. tauchte erstmals Rom als bedeutende Macht in Griechenland auf und dehnte nach und nach seinen Einfluss aus.
","Zu Beginn des 2. Jahrhunderts v. Chr. tauchte erstmals Rom als bedeutende Macht in Griechenland auf und dehnte nach und nach seinen Einfluss aus.
","Zu Beginn des 2. Jahrhunderts v. Chr. tauchte erstmals Rom als bedeutende Macht in Griechenland auf und dehnte nach und nach seinen Einfluss aus.
",False
3516,"Doch blieben viele Poleis wie Athen und Sparta zumindest vorerst formell unabhängig.
","Doch blieben viele Poleis wie Athen und Sparta zumindest vorerst formell unabhängig.
","Doch blieben viele Poleis wie Athen und Sparta zumindest vorerst formell unabhängig.
",False
3517,"Bald darauf folgte der Erwerb Pergamons durch Rom und 64/63 v. Chr. die Beseitigung der Überreste des Seleukidenreiches.
","Bald darauf folgte der Erwerb Pergamons durch Rom und 64/63 v. Chr. die Beseitigung der Überreste des Seleukidenreiches.
","Bald darauf folgte der Erwerb Pergamons durch Rom und 64/63 v. Chr. die Beseitigung der Überreste des Seleukidenreiches.
",False
3518,"Als letzter Nachfolgestaat des Alexanderreichs wurde im Jahre 30 v. Chr. das ptolemäische Ägypten, dessen letzte Herrscherin Kleopatra VII.
","Als letzter Nachfolgestaat des Alexanderreichs wurde im Jahre 30 v. Chr. das ptolemäische Ägypten, dessen letzte Herrscherin Kleopatra VII.
","Als letzter Nachfolgestaat des Alexanderreichs wurde im Jahre 30 v. Chr. das ptolemäische Ägypten, dessen letzte Herrscherin Kleopatra VII.
",False
3519,"war, ins Römische Reich eingegliedert.
","war, ins Römische Reich eingegliedert.
","War, ins Römische Reich eingegliedert.
",False
3520,"Damit war die hellenistische Staatenwelt als machtpolitischer Faktor ausgelöscht.
","Damit war die hellenistische Staatenwelt als machtpolitischer Faktor ausgelöscht.
","Damit war die hellenistische Staatenwelt als machtpolitischer Faktor ausgelöscht.
",False
3521,"Die griechische Kultur lebte jedoch im Römischen Reich sowie später im Byzantinischen Reich fort.
","Die griechische Kultur lebte jedoch im Römischen Reich sowie später im Byzantinischen Reich fort.
","Die griechische Kultur lebte jedoch im Römischen Reich sowie später im Byzantinischen Reich fort.
",False
3522,"Nach den Griechen wurden die Römer zu den zweiten Trägern und Vermittlern der antiken Kultur und prägten diese für mehrere hundert Jahre.
","Nach den Griechen wurden die Römer zu den zweiten Trägern und Vermittlern der antiken Kultur und prägten diese für mehrere hundert Jahre.
","Nach den Griechen wurden die Römer zu den zweiten Trägern und Vermittlern der antiken Kultur und prägten diese für mehrere hundert Jahre.
",False
3523,"Je weiter sie als Eroberer in außeritalische Länder vordrangen, desto stärker ließen sie sich von deren Kultur inspirieren und beeinflussen.
","Je weiter sie als Eroberer in außeritalische Länder vordrangen, desto stärker ließen sie sich von deren Kultur inspirieren und beeinflussen.
","Je weiter sie als Eroberer in außeritalische Länder vordrangen, desto stärker ließen sie sich von deren Kultur inspirieren und beeinflussen.
",False
3524,"Literatur, Philosophie, Kunst, Architektur und Alltagskultur der Griechen und der Länder der Levante, Waffentechniken der Gallier oder Germanen und religiöse Einflüsse
","Literatur, Philosophie, Kunst, Architektur und Alltagskultur der Griechen und der Länder der Levante, Waffentechniken der Gallier oder Germanen und religiöse Einflüsse
","Literatur, Philosophie, Kunst, Architektur und Alltagskultur der Griechen und der Länder der Levante, Waffentechniken der Gallier oder Germanen und religiöse Einflüsse
",False
3525,"aus Ägypten wurden von den Römern aufgenommen.
","aus Ägypten wurden von den Römern aufgenommen.
","Aus Ägypten wurden von den Römern aufgenommen.
",False
3526,"Nicht zuletzt durch die kulturelle Ausstrahlung und Heterogenität der Stadt Rom, die sich in der römischen Kaiserzeit zur Millionenstadt entwickelte, wurden solche Einflüsse im Imperium verbreitet.
","Nicht zuletzt durch die kulturelle Ausstrahlung und Heterogenität der Stadt Rom, die sich in der römischen Kaiserzeit zur Millionenstadt entwickelte, wurden solche Einflüsse im Imperium verbreitet.
","Nicht zuletzt durch die kulturelle Ausstrahlung und Heterogenität der Stadt Rom, die sich in der römischen Kaiserzeit zur Millionenstadt entwickelte, wurden solche Einflüsse im Imperium verbreitet.
",False
