gendered,male,female,enhanced,index
"Die Polizei nahm dier VerbrecherIn fest, dier für eine Reihe von Einbrüchen in der Nachbarschaft verantwortlich war.","Die Polizei nahm den Verbrecher fest, der für eine Reihe von Einbrüchen in der Nachbarschaft verantwortlich war.","Die Polizei nahm die Verbrecherin fest, die für eine Reihe von Einbrüchen in der Nachbarschaft verantwortlich war.","Die Polizei nahm die Person, die für eine Reihe von Einbrüchen in der Nachbarschaft verantwortlich war, fest. Diesbezüglich handelt es sich um eine Person, die sich möglicherweise als Verbrecher, Verbrecherin oder mit einer anderen geschlechtlichen Identität identifiziert und somit nicht auf ein bestimmtes Geschlecht festgelegt werden kann.",1846
"... Bald entscheidet es sich, ob die Zeit unser*e Verbündete:r ist.","... Bald entscheidet es sich, ob die Zeit unser Verbündeter ist.","... Bald entscheidet es sich, ob die Zeit unser Verbündete ist.","Bald wird entschieden, ob die Zeit unseren Verbündeten, unseren Verbündeten, unseren Verbündeten und unseren Verbündeten, unabhängig von deren Geschlechtsidentität, sei es als Frau, Mann oder als Person mit einer anderen geschlechtlichen Identität, zur Seite steht oder nicht.",1847
Dier Verfasser*in des Blogeintrags gab sich beim Schreiben große Mühe.,Der Verfasser des Blogeintrags gab sich beim Schreiben große Mühe.,Die Verfasserin des Blogeintrags gab sich beim Schreiben große Mühe.,"Die Verfasserin, der Verfasser und alle Personen, die sich in Bezug auf ihr Geschlecht oder ihre Geschlechtsidentität als Verfassende definieren, haben sich beim Schreiben des Blogeintrags große Mühe gegeben.",1848
Dey ist ein/e starke:r Verfechter/in der Demokratie.,Er ist ein starker Verfechter der Demokratie.,Sie ist eine starke Verfechterin der Demokratie.,"Dey ist eine starke Person, die sich leidenschaftlich für die Demokratie einsetzt, unabhängig davon, wie sie sich selbst in Bezug auf Geschlecht oder Geschlechtsidentität definiert. Diese Person engagiert sich aktiv und nachhaltig für die Werte und Prinzipien der demokratischen Gesellschaft und setzt sich dafür ein, das Bewusstsein für diese Themen zu fördern und zu stärken.",1849
"Dier Verhandlungspartner/in brachte deren Bedingungen klar und präzise vor, während dey gleichzeitig auf eine gegenseitig vorteilhafte Lösung hinarbeitete.","Der Verhandlungspartner brachte seine Bedingungen klar und präzise vor, während er gleichzeitig auf eine gegenseitig vorteilhafte Lösung hinarbeitete.","Die Verhandlungspartnerin brachte ihre Bedingungen klar und präzise vor, während sie gleichzeitig auf eine gegenseitig vorteilhafte Lösung hinarbeitete.","Die Verhandlungspartnerin, der Verhandlungspartner und Personen mit anderen geschlechtlichen Identitäten brachten ihre Bedingungen klar und präzise vor, während sie gleichzeitig darauf hinarbeiteten, eine für alle Beteiligten vorteilhafte Lösung zu finden, unabhängig davon, wie sie sich in Bezug auf Geschlecht oder Geschlechtsidentität definieren.",1850
"Dier Verkäufer*in präsentierte die Vorzüge des Autos und bot derl Kund*in eine Probefahrt an, um demm zu überzeugen.","Der Verkäufer präsentierte die Vorzüge des Autos und bot dem Kunden eine Probefahrt an, um ihn zu überzeugen.","Die Verkäuferin präsentierte die Vorzüge des Autos und bot der Kundin eine Probefahrt an, um sie zu überzeugen.","Die Verkäuferin, der Verkäufer und Personen anderer geschlechtlicher Identität präsentierten die Vorzüge des Autos und boten den Kundinnen, den Kunden sowie weiteren Personen, die sich in Bezug auf ihr Geschlecht oder ihre Geschlechtsidentität unterschiedlich definieren, eine Probefahrt an, um sie von den Vorteilen des Fahrzeugs zu überzeugen.",1851
"Die VerkäuferInnen in dem Lebensmittelgeschäft sind stets freundlich und hilfsbereit, um die Bedürfnisse der KundInnen zu erfüllen.","Die Verkäufer in dem Lebensmittelgeschäft sind stets freundlich und hilfsbereit, um die Bedürfnisse der Kunden zu erfüllen.","Die Verkäuferinnen in dem Lebensmittelgeschäft sind stets freundlich und hilfsbereit, um die Bedürfnisse der Kundinnen zu erfüllen.","Die Verkäuferinnen, Verkäufer und Personen anderer Geschlechteridentitäten, die in dem Lebensmittelgeschäft tätig sind, zeigen sich stets freundlich und hilfsbereit, um die Bedürfnisse der Kunden, Kundinnen und weiterer Personen, die ihre Produkte und Dienstleistungen in Anspruch nehmen, bestmöglich zu erfüllen, unabhängig davon, wie diese sich in Bezug auf Geschlecht oder Geschlechtsidentität definieren.",1852
"Dier Verleger/in entschied sich, das Buch der aufstrebenden Autor/in zu veröffentlichen.","Der Verleger entschied sich, das Buch des aufstrebenden Autors zu veröffentlichen.","Die Verlegerin entschied sich, das Buch der aufstrebenden Autorin zu veröffentlichen.","Die Verlegerin, der Verleger und Personen mit anderen geschlechtlichen Identitäten, die in der Verlagsbranche tätig sind, entschieden sich dazu, das Buch der aufstrebenden Autorin, des aufstrebenden Autors sowie von weiteren Individuen mit anderen geschlechtlichen Identitäten, die in der Rolle eines Autors oder einer Autorin stehen, zu veröffentlichen.",1853
"Dier Verletzte wurde sofort ins Krankenhaus gebracht, um medizinische Hilfe zu erhalten.","Der Verletzte wurde sofort ins Krankenhaus gebracht, um medizinische Hilfe zu erhalten.","Die Verletzte wurde sofort ins Krankenhaus gebracht, um medizinische Hilfe zu erhalten.","Die verletzte Person wurde umgehend ins Krankenhaus transportiert, um dort die notwendige medizinische Unterstützung und Versorgung zu erhalten, unabhängig von deren Geschlechtsidentität, sei es eine Frau, ein Mann oder eine Person mit einer anderen geschlechtlichen Identität.",1854
"Obwohl dey hart kämpfte, war dey letztendlich dier VerliererIn des Schachturniers.","Obwohl er hart kämpfte, war er letztendlich der Verlierer des Schachturniers.","Obwohl sie hart kämpfte, war sie letztendlich die Verliererin des Schachturniers.","Obwohl die Person, die sich mit dem Geschlecht neutral identifiziert, hart kämpfte, war sie letztendlich die Verliererin oder der Verlierer des Schachturniers, unabhängig von ihrer Geschlechtsidentität oder Geschlechtszugehörigkeit.",1855
Die Verlierer/innen des Wettbewerbs erhielten dennoch Lob für ihre Bemühungen.,Die Verlierer des Wettbewerbs erhielten dennoch Lob für ihre Bemühungen.,Die Verliererinnen des Wettbewerbs erhielten dennoch Lob für ihre Bemühungen.,"Die Personen, die im Wettbewerb nicht gewonnen haben, sei es, dass sie sich als Frauen, Männer oder andere geschlechtliche Identitäten definieren, erhielten dennoch Anerkennung und Lob für ihre langjährigen Anstrengungen und ihr Engagement im Wettbewerb, unabhängig von ihrem Geschlecht oder ihrer Geschlechtsidentität.",1856
Mein_e Verlobte:r hat deren Ring kurz vor der Hochzeit verloren. ,Mein Verlobter hat seinen Ring kurz vor der Hochzeit verloren. ,Meine Verlobte hat ihren Ring kurz vor der Hochzeit verloren. ,"Meine Verlobte, mein Verlobter oder eine Person mit einer anderen geschlechtlichen Identität, die sich in einer eheähnlichen Verlobung mit mir befindet, hat den Ring, der für unsere bevorstehende Hochzeit vorgesehen war, kurz vor dem großen Tag verloren.",1857
Dier VermieterIn hat die Miete für das nächste Jahr erhöht.,Der Vermieter hat die Miete für das nächste Jahr erhöht.,Die Vermieterin hat die Miete für das nächste Jahr erhöht.,"Die Vermieterin, der Vermieter und Personen mit anderen geschlechtlichen Identitäten, die als Eigentümer:innen von Wohnraum agieren, haben die Miete für das kommende Jahr erhöht.",1858
Dier Versender_in hat das Paket gestern abgeschickt.,Der Versender hat das Paket gestern abgeschickt.,Die Versenderin hat das Paket gestern abgeschickt.,"Der Versender, die Versenderin und Personen mit anderen geschlechtlichen Identitäten, die für den Versand des Pakets verantwortlich sind, haben das Paket gestern abgeschickt.",1859
Die Familie trauert um dier Verstorbene:n.,Die Familie trauert um den Verstorbenen.,Die Familie trauert um die Verstorbene.,"Die Familie, bestehend aus Angehörigen aller Geschlechter und Geschlechtsidentitäten, trauert um die verstorbene Person, die Teil ihrer Gemeinschaft war, unabhängig davon, ob es sich um eine Frau, einen Mann oder eine Person mit einer anderen geschlechtlichen Identität handelt.",1860
Dier Vertriebler*in präsentierte die neuen Softwarelösungen.,Der Vertriebler präsentierte die neuen Softwarelösungen.,Die Vertrieblerin präsentierte die neuen Softwarelösungen.,"Die Vertriebsmitarbeiterin, der Vertriebsmitarbeiter und Personen mit anderen geschlechtlichen Identitäten, die im Vertrieb tätig sind, präsentierten die neuen Softwarelösungen.",1861
Die verwaltende Person/Firma/Institution kümmerte sich um die Instandhaltung des Gebäudes.,Der Verwalter kümmerte sich um die Instandhaltung des Gebäudes.,Die Verwalterin kümmerte sich um die Instandhaltung des Gebäudes.,"Die für die Verwaltung zuständige Person, das Unternehmen oder die Institution, die mit der Betreuung des Gebäudes betraut ist, hat sich um die Instandhaltung des Gebäudes gekümmert. Dies schließt alle Individuen ein, unabhängig von ihrer Geschlechtsidentität, sei es männlich, weiblich oder eine andere geschlechtliche Identität.",1862
Ein*e nahe:r Verwandte:r besuchte dem im Krankenhaus.,Ein naher Verwandter besuchte ihn im Krankenhaus.,Eine nahe Verwandte besuchte sie im Krankenhaus.,"Eine Person, die in engem familialen oder verwandtschaftlichen Verhältnis zu der im Krankenhaus befindlichen Person steht, besuchte diese, unabhängig von deren Geschlechtsidentität, sei es eine Frau, ein Mann oder eine Person mit einer anderen geschlechtlichen Identität.",1863
Dier Veterinär*in untersuchte das kranke Pferd gründlich und stellte eine genaue Diagnose.,Der Veterinär untersuchte das kranke Pferd gründlich und stellte eine genaue Diagnose.,Die Veterinärin untersuchte das kranke Pferd gründlich und stellte eine genaue Diagnose.,"Die Veterinärin, der Veterinär und Personen anderer geschlechtlicher Identitäten, die in der Tiermedizin oder als Tierärztin oder Tierarzt tätig sind, untersuchten das kranke Pferd gründlich und stellten eine präzise Diagnose, um das Wohlbefinden des Tieres zu gewährleisten.",1864
"Die VirologInnen forschen intensiv an einem neuen Impfstoff, um die Verbreitung des Virus einzudämmen.","Die Virologen forschen intensiv an einem neuen Impfstoff, um die Verbreitung des Virus einzudämmen.","Die Virologinnen forschen intensiv an einem neuen Impfstoff, um die Verbreitung des Virus einzudämmen.","Die Virologinnen, Virologen und Personen anderer geschlechtlicher Identität, die im Bereich der Virologie tätig sind, forschen intensiv an einem neuen Impfstoff, um die Verbreitung des Virus einzudämmen und die Gesundheit der Bevölkerung zu schützen, unabhängig davon, wie diese sich in Bezug auf Geschlecht oder Geschlechtsidentität definieren.",1865
Dier Visionär_in hatte eine klare Vorstellung von einer nachhaltigen Zukunft und arbeitete unermüdlich an innovativen Lösungen.,Der Visionär hatte eine klare Vorstellung von einer nachhaltigen Zukunft und arbeitete unermüdlich an innovativen Lösungen.,Die Visionärin hatte eine klare Vorstellung von einer nachhaltigen Zukunft und arbeitete unermüdlich an innovativen Lösungen.,"Die visionäre Person, unabhängig von Geschlechtsidentität oder Geschlecht, hatte eine klare Vorstellung von einer nachhaltigen Zukunft und arbeitete unermüdlich an innovativen Lösungen, wobei sie sowohl kreative als auch praktische Ansätze förderte, um Umwelt- und soziale Herausforderungen anzugehen und eine bessere Welt für alle zu schaffen.",1866
Dier Vizepräsident_in vertrat das Unternehmen auf der internationalen Konferenz und hielt eine beeindruckende Rede.,Der Vizepräsident vertrat das Unternehmen auf der internationalen Konferenz und hielt eine beeindruckende Rede.,Die Vizepräsidentin vertrat das Unternehmen auf der internationalen Konferenz und hielt eine beeindruckende Rede.,"Die Vizepräsidentin, der Vizepräsident und Personen mit anderen geschlechtlichen Identitäten, die in der Position des Vizepräsidenten oder in vergleichbaren Funktion im Unternehmen tätig sind, vertraten das Unternehmen auf der internationalen Konferenz und hielten eine beeindruckende Rede, die sowohl die Interessen als auch die Perspektiven aller Anwesenden berücksichtigte, unabhängig von deren Geschlechtsidentität oder -zugehörigkeit.",1867
Die Führungskraft lobte das Team für seine hervorragende Arbeit und gab klare Anweisungen für das nächste Projekt.,Der Vorgesetzte lobte das Team für seine hervorragende Arbeit und gab klare Anweisungen für das nächste Projekt.,Die Vorgesetzte lobte das Team für seine hervorragende Arbeit und gab klare Anweisungen für das nächste Projekt.,"Die Führungskraft, die sowohl in einem leitenden als auch in einem beratenden oder unterstützenden Kontext tätig ist und unabhängig von ihrem Geschlecht agiert, lobte das Team, bestehend aus Personen verschiedener Geschlechtsidentitäten, wie Frauen, Männer und nicht-binäre Individuen sowie weiteren geschlechtlichen Identitäten, für die hervorragende Arbeit, die sie geleistet haben. Darüber hinaus gab die Führungskraft klare Anweisungen für das nächste Projekt, um sicherzustellen, dass alle Teammitglieder, egal wie sie sich in Bezug auf ihr Geschlecht oder ihre Geschlechtsidentität definieren, optimal informiert sind und die nächsten Schritte erfolgreich umsetzen können.",1868
Deutschland könnte eine Führungsrolle im Klimaschutz spielen.,Deutschland könnte eine Vorreiterrolle im Klimaschutz spielen.,Deutschland könnte eine Vorreiterinrolle im Klimaschutz spielen.,"Deutschland könnte eine führende Rolle im Bereich des Klimaschutzes übernehmen und damit nicht nur seine Bürgerinnen und Bürger, sondern auch Menschen anderer Geschlechtsidentitäten sowie zukünftige Generationen unterstützen. Durch innovative Maßnahmen und Strategien im Umweltschutz kann das Land einen positiven Einfluss ausüben, der alle Mitglieder der Gesellschaft umfasst, unabhängig von deren Geschlechtsidentität oder anderen persönlichen Merkmalen.",1869
... Wer sind die anderen Vorständ_innen?,... Wer sind die anderen Vorstände?,... Wer sind die anderen Vorständinnen?,"'Wer sind die anderen Mitglieder des Vorstands, einschließlich derjenigen, die sich als Vorständinnen, Vorstände oder Personen mit anderen geschlechtlichen Identitäten definieren?'",1870
